Date,Amount,Category,Description
2024-09-17,364.09,Entertainment,Sports event
2024-11-22,241.52,Health,Doctor consultation
2025-01-25,379.32,Entertainment,Sports event
2024-03-18,65.47,Education,Books
2024-07-04,496.58,Transport,Train ticket
2025-01-18,172.18,Health,Pharmacy purchase
2024-12-04,237.2,Education,Online class
2024-03-12,298.06,Shopping,Clothing purchase
2025-01-22,61.41,Health,Health insurance
2024-09-02,21.45,Food,Fast food
2024-11-30,488.35,Shopping,Online shopping
2024-04-01,348.36,Entertainment,Video game
2025-01-27,392.18,Shopping,Electronics
2024-08-14,480.46,Education,Exam registration
2024-04-11,74.16,Entertainment,Sports event
2024-12-12,333.56,Food,Snacks
2024-08-16,409.15,Shopping,Clothing purchase
2024-07-29,289.67,Transport,Train ticket
2024-03-07,57.28,Shopping,Online shopping
2024-11-15,399.51,Utilities,Water bill
2024-08-28,302.7,Health,Gym membership
2024-03-14,404.37,Transport,Parking fee
2024-04-14,317.85,Utilities,Internet subscription
2024-07-12,10.04,Food,Snacks
2024-10-23,47.9,Health,Health insurance
2024-05-23,236.33,Food,Groceries
2024-11-18,347.36,Food,Fast food
2025-02-20,290.58,Entertainment,Concert pass
2024-11-14,101.14,Education,Books
2024-06-13,313.41,Shopping,Household items
2024-07-15,465.23,Food,Snacks
2024-04-01,197.17,Utilities,Phone bill
2024-07-11,26.0,Transport,Parking fee
2024-12-14,37.14,Food,Snacks
2024-12-19,376.18,Education,Books
2024-11-01,230.42,Entertainment,Sports event
2024-10-31,98.18,Entertainment,Movie ticket
2024-10-24,332.02,Food,Coffee purchase
2024-10-07,124.25,Food,Coffee purchase
2024-04-09,416.58,Education,Online class
2024-12-31,259.13,Education,Workshop
2024-10-21,27.86,Utilities,Electricity bill
2024-09-22,117.05,Shopping,Household items
2024-12-11,40.32,Entertainment,Streaming subscription
2025-02-14,240.81,Entertainment,Streaming subscription
2024-09-16,452.84,Food,Restaurant bill
2024-06-06,242.3,Health,Gym membership
2024-05-11,289.09,Entertainment,Streaming subscription
2024-07-09,107.35,Shopping,Household items
2024-09-29,363.7,Utilities,Internet subscription
